_id,title,noFinesset,capacity,legal_status,IsEHPAD,IsEHPA,IsESLD,IsRA,IsAJA,IsHCOMPL,IsHTEMPO,IsACC_JOUR,IsACC_NUIT,IsHAB_AIDE_SOC,IsCONV_APL,IsALZH,IsUHR,IsPASA,IsPUV,IsF1,IsF1Bis,IsF2,prixMin,coordinates.street,coordinates.postcode,coordinates.deptcode,coordinates.deptname,coordinates.city,coordinates.phone,coordinates.emailContact,coordinates.gestionnaire,coordinates.website,coordinates.latitude,coordinates.longitude,coordinates.region
56.0,EHPAD La Maison à Soie,010781029,65.0,Public,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,1807.5,2 Chemin de la Soie,1230.0,01,AIN,TENAY,04 74 36 59 00,ehpadtenay@maisonsoie.fr,EHPAD La Maison à Soie,http://www.maisonsoie.fr,45.920632,5.510488,Auvergne-Rhône-Alpes
94.0,EHPAD La Montagne,010788024,210.0,Public,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,1965.9,Route de Relevant,1400.0,01,AIN,CHATILLON SUR CHALARONNE,04 74 55 00 44,mrlamontagne@mrchatillon.fr,Maison de Retraite la Montagne,http://www.ehpad-lamontagne.fr/,46.111581,4.95211,Auvergne-Rhône-Alpes
53.0,EHPAD La Rivére d'argent,010780989,65.0,Public,True,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,False,False,1763.4,72 rue de Lyon,1090.0,01,AIN,MONTMERLE SUR SAONE,04 74 69 37 49,ehpadmontmerle@orange.fr,Maison de Retraite Montmerle,,46.078267,4.759761,Auvergne-Rhône-Alpes
84.0,EHPAD La Rose d'Or,010786143,80.0,Public,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,1762.8,10 Rue du Guichardet,1800.0,01,AIN,MEXIMIEUX,04 74 46 07 60,hlmeximieux@hopitalmeximieux.org,CH de Meximieux,,45.913327,5.205761,Auvergne-Rhône-Alpes
83.0,EHPAD La maison Bouchacourt,010786135,127.0,Public,True,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,False,False,1990.4999999999998,95 rue Chevalier-Burtin,1750.0,01,AIN,ST LAURENT SUR SAONE,03 85 39 09 90,contact@mrbouchacourt.fr,M.R. la Maison Bouchacourt Residence Med,,46.308389,4.841698,Auvergne-Rhône-Alpes
23.0,EHPAD La rose des vents,010006799,94.0,Privé non lucratif,True,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,False,2110.2000000000003,1289 rue Édouard-Herriot BP 51,1480.0,01,AIN,JASSANS RIOTTIER,04 74 09 53 50,larosedesvents@acppa.fr,ACPPA,http://ehpad-larosedesvents.groupe-acppa.fr/,45.982404,4.756888,Auvergne-Rhône-Alpes
76.0,EHPAD Le Chapuis,010786002,61.0,Privé commercial,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2503.2,880 Route de Chapuis Château Chapuis,1400.0,01,AIN,ROMANS,04 74 55 09 59,lechapuis.secretariat@gmail.com,SARL Ain Retraite,http://lesclosdecormaline.fr/,46.124068,4.990016,Auvergne-Rhône-Alpes
45.0,EHPAD Le Château de Grex,010780849,84.0,Privé non lucratif,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,2006.1000000000001,Grande Route GIGNEZ,1420.0,01,AIN,CORBONOD,04 50 56 15 43,grex-accueil@itinova.org,Association Santé et Bien-Être,,45.974761,5.807266,Auvergne-Rhône-Alpes
18.0,EHPAD Le Clos Chevalier,010004059,70.0,Privé non lucratif,True,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,False,False,2207.4,7 rue du Père-Adam,1210.0,01,AIN,ORNEX,04 50 99 11 00,accueil@orsac-lecloschevalier.fr,Association Orsac,http://www.lecloschevalier.fr,46.263261,6.111996,Auvergne-Rhône-Alpes
116.0,EHPAD Les Ancolies Peronnas,010789204,80.0,Privé non lucratif,True,False,False,False,False,True,True,True,False,True,False,True,False,True,False,False,False,False,1962.9,131 rue Jean-Monnet,1960.0,01,AIN,PERONNAS,04 74 32 84 00,ancolies@mutain.com,Mutualite Francaise Ain SSAM,,46.179079,5.20036,Auvergne-Rhône-Alpes
115.0,EHPAD Les Jardins Médicis,010789188,70.0,Privé commercial,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,2852.1,271 chemin de Charignin,1300.0,01,AIN,BELLEY,04 79 87 30 70,dir-medicis-belley@domusvi.com,SAS Semillance,http://www.medicisbelley.com/,45.74897,5.692652,Auvergne-Rhône-Alpes
78.0,EHPAD Les Jardins du Lac,010786036,152.0,Public,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,1904.4,50 Rue Paul Painlevé,1130.0,01,AIN,NANTUA,04 74 73 10 01,secretariatdir@ch-hautbugey.fr,CH du Haut Bugey,,46.14894,5.608452,Auvergne-Rhône-Alpes
74.0,EHPAD Les Mimosas,010785681,48.0,Privé non lucratif,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,2090.1,2 Montée de la Paroche,1700.0,01,AIN,ST MAURICE DE BEYNOST,04 37 85 51 51,contact@josephineguillon.fr,Institution Josephine Guillon,https://www.institution-josephine-guillon.fr/,45.831982,4.978482,Auvergne-Rhône-Alpes
101.0,EHPAD Les Opalines,010788396,30.0,Privé commercial,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2181.0,139 Allee Jean Brevet,1400.0,01,AIN,NEUVILLE LES DAMES,04 74 55 69 99,opalines-neuville@lesopalines.fr,SGMR,http://www.lesopalines.fr/ehpad-neuville-les-dames/,46.164495,5.002444,Auvergne-Rhône-Alpes
75.0,EHPAD Les Opalines Belignieux,010785822,80.0,Privé commercial,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,2773.2,37 Rue du Professeur Robert Hugonot LE FOLU,1360.0,01,AIN,BELIGNEUX,04 37 40 85 50,opalines-beligneux@lesopalines.fr,SGMR,http://beligneux.lesopalines.fr,45.85213,5.12412,Auvergne-Rhône-Alpes
117.0,EHPAD Les Résidences Camille Cornier,010789220,80.0,Privé non lucratif,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,1829.7,40 allée Hugon,1250.0,01,AIN,CEYZERIAT,04 74 25 04 90,ehpad.ceyzeriat@wanadoo.fr,Association Residences de Ceyzeriat,http://www.ehpad-ceyzeriat.fr,46.179311,5.326653,Auvergne-Rhône-Alpes
55.0,EHPAD Les Saulaies,010781011,88.0,Public,True,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,False,1833.3,119 place de l'Église,1990.0,01,AIN,ST TRIVIER SUR MOIGNANS,04 74 55 80 68,direction@ehpadsaulaies.fr,Maison de Retraite St Trivier-M,,46.07093,4.895981,Auvergne-Rhône-Alpes
52.0,EHPAD Les Tilleuls,010780971,108.0,Public,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,1884.6,85 promenade des Tilleuls,1120.0,01,AIN,MONTLUEL,04 72 25 18 18,contact@ehpadmontluel.fr,Maison de Retraite Montluel,http://www.maison-de-retraite-montluel.fr,45.849301,5.053338,Auvergne-Rhône-Alpes
79.0,EHPAD Les Tournants des saisons,010786077,103.0,Public,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,1904.4,1 rue Bellevue,1100.0,01,AIN,OYONNAX,04 74 73 10 01,secretariatdir@ch-hautbugey.fr,CH du Haut Bugey,,46.255544,5.650452,Auvergne-Rhône-Alpes
86.0,EHPAD Maison Saint-Joseph,010786176,106.0,Privé non lucratif,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,1895.6999999999998,108 Rue Thomas Riboud,1250.0,01,AIN,JASSERON,04 74 30 01 77,direction@st-joseph-jasseron.fr,Maison de Retraite St Joseph,http://www.st-joseph-jasseron.fr,46.212976,5.325978,Auvergne-Rhône-Alpes
102.0,EHPAD Plein Soleil,010788438,66.0,Public,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,1635.6000000000001,130 route du Charantonod Saint-Martin,1680.0,01,AIN,LHUIS,04 74 39 85 88,ehpad.pleinsoleil@ehpad-lhuis.fr,Mapa Plein Soleil Lhuis,,45.742637,5.545148,Auvergne-Rhône-Alpes
106.0,EHPAD Privé la Pergola,010788743,95.0,Privé commercial,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,3023.1,32 boulevard Saint-Nicolas,1000.0,01,AIN,BOURG EN BRESSE,04 74 45 38 01,lapergola@emera.fr,SAS Emera Exploitations,http://www.emera.fr,46.20589,5.234678,Auvergne-Rhône-Alpes
48.0,EHPAD Résideance l'Albizia,010780922,53.0,Public,True,False,False,False,False,True,False,False,False,True,True,True,False,True,False,False,False,False,1859.7,362 Rue de la Grand Côte,1450.0,01,AIN,CERDON,04 74 39 96 62,mr.cerdon@ehpad-cerdon.fr,Maison de Retraite Cerdon,,46.084039,5.465242,Auvergne-Rhône-Alpes
91305.0,EHPAD Résidence Ameyzieu,010788040,46.0,Privé commercial,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2859.0,Rue de la Biganderie Ameyzieu,1510.0,01,AIN,TALISSIEU,04 79 42 39 39,accueil-ameyzieu@groupecolisee.com,Groupe Colisée,https://www.groupecolisee.com/residences/services-ameyzieu/,45.8713813,5.709155499999952,Auvergne-Rhône-Alpes
69.0,EHPAD Résidence Bon séjour,010784692,95.0,Privé non lucratif,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,2216.3999999999996,80 avenue Joséphine-Guillon,1700.0,01,AIN,MIRIBEL,04 78 55 75 75,contact@josephineguillon.fr,Institution Joséphine Guillon,https://www.institution-josephine-guillon.fr/,45.826982,4.954058,Auvergne-Rhône-Alpes
46.0,EHPAD Résidence Fontelune,010780906,84.0,Public,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,1827.3,10 rue de la Commune-de-1871,1500.0,01,AIN,AMBERIEU EN BUGEY,04 74 46 14 20,ehpadamberieu@fontelune.fr,Residence Fontelune,http://www.fontelune.fr,45.969007,5.350794,Auvergne-Rhône-Alpes
50.0,EHPAD Résidence La Jonquillère,010780955,81.0,Public,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,1785.6,Rue des Écoliers BP 7,1270.0,01,AIN,COLIGNY,04 74 30 10 56,accueil.coligny@orange.fr,Maison de Retraite - Coligny,,46.383239,5.347471,Auvergne-Rhône-Alpes
41.0,EHPAD Résidence Le Crêt de la Neige,010780013,83.0,Public,True,False,False,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,2093.1,131 Allee des Frenes,1220.0,01,AIN,DIVONNE LES BAINS,04 50 20 12 35,divonne.accueil@ch-paysdegex.fr,CH du Pays de Gex,,46.346204,6.141848,Auvergne-Rhône-Alpes
125.0,EHPAD Résidence Les Peupliers,010789915,90.0,Privé commercial,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2484.6,2 avenue des Belges,1000.0,01,AIN,BOURG EN BRESSE,04 74 23 85 00,bourg.direction@sofinam.fr,Résidence les Peupliers - Bourg,http://www.peupliers-ehpad.com,46.206703,5.230905,Auvergne-Rhône-Alpes
73497.0,EHPAD Résidence Seillon,010789402,82.0,Privé non lucratif,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,1942.8000000000002,Chemin des Carronnieres,1960.0,01,AIN,PERONNAS,04 74 32 88 00,seillon.repos@lebonrepos.fr,Association le bon repos,http://www.lebonrepos.fr/ehpad-peronnas-ain.htm,46.173644,5.227162,Auvergne-Rhône-Alpes
58.0,EHPAD Saint-Vincent,010781045,82.0,Privé non lucratif,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,2059.7999999999997,83 rue des Narcisses,1200.0,01,AIN,BELLEGARDE SUR VALSERINE,04 50 56 62 25,ehpad.st-vincent.sec@ccass-sbe.org,Association Santé et Bien-Être,,46.119682,5.817411,Auvergne-Rhône-Alpes
60.0,EHPAD Soeur Rosalie,010784106,85.0,Privé non lucratif,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,1809.8999999999999,Rue du Cret d'Eau,1200.0,01,AIN,CONFORT,04 50 56 51 80,rosalie-secretariat@itinova.org,Association Santé et Bien-Être,https://www.itinova.org/etablissement/ehpad-soeur-rosalie-confort-38.html,46.149727,5.822646,Auvergne-Rhône-Alpes
112.0,EHPAD Utrillo Saint-Bernard,010789030,80.0,Privé commercial,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,2910.3,750 Chemin de la Mulati,1600.0,01,AIN,ST BERNARD,04 74 00 17 17,residence.utrillo@wanadoo.fr,SAS Utrillo,,45.949757,4.739166,Auvergne-Rhône-Alpes
113.0,EHPAD Villa Adelaide,010789055,64.0,Privé commercial,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2515.5,44 Rue du Château d'Eau,1110.0,01,AIN,HAUTEVILLE LOMPNES,04 74 35 36 50,villadelaide@tavonis.fr,SARL Adelaide,http://www.pavonis.fr,45.97345,5.607414,Auvergne-Rhône-Alpes
124.0,EHPAD Villa Charlotte,010789899,46.0,Privé commercial,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1985.4,Rue du Général Andréa,1100.0,01,AIN,ARBENT,04 74 77 42 42,charlotte-arbent@domusvi.com,SARL Villa Charlotte,https://www.domusvi.com/maisons-de-retraite/villa-charlotte-arbent-3344192,46.296679,5.683746,Auvergne-Rhône-Alpes
95.0,EHPAD de Montrevel-en-Bresse,010788032,166.0,Public,True,False,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,1735.5,57 Rue de l'Hopital BP 74,1340.0,01,AIN,MONTREVEL EN BRESSE,04 74 30 82 66,direction@ehpad-montrevel.fr,EHPAD de Montrevel-en-Bresse,,46.340438,5.126734,Auvergne-Rhône-Alpes
54.0,EHPAD de Saint-Trivier de Courtes- Résidence docteur Perret,010781003,91.0,Public,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,1754.4,17 route de Servignat,1560.0,01,AIN,ST TRIVIER DE COURTES,04 74 30 70 44,ehpadtriviercourtes@ehpad01560.fr,M.R. St Trivier-De-Courtes,,46.457333,5.077801,Auvergne-Rhône-Alpes
57.0,EHPAD de Villars les Dombes,010781037,84.0,Public,True,False,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,1722.3,37 Rue du Collège,1330.0,01,AIN,VILLARS LES DOMBES,04 74 98 01 04,contact@ehpadvillars.fr,Maison de Retraite Publique de Villars,,46.000686,5.026269,Auvergne-Rhône-Alpes
82.0,EHPAD des mille étangs,010786119,80.0,Public,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,1915.8,Place de l'Hopital,1320.0,01,AIN,CHALAMONT,04 74 61 70 14,mr.chalamont@orange.fr,EHPAD des mille étangs,,45.996242,5.169586,Auvergne-Rhône-Alpes
31.0,EHPAD du Centre hospitalier de Hauteville-Lompnes,010008571,69.0,Public,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,1557.3,,1110.0,01,AIN,HAUTEVILLE LOMPNES,04 74 40 80 00,secret.direction@chph01.fr,CH Public Hauteville,http://www.chph.org,45.97698,5.601785,Auvergne-Rhône-Alpes
85.0,EHPAD du Centre hospitalier de Meximieux,010786150,44.0,Public,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,1762.8,13 Avenue du Docteur Boyer,1800.0,01,AIN,MEXIMIEUX,04 74 61 01 77,hlmeximieux@hopitalmeximieux.org,Centre hospitalier de Meximieux,,45.906192,5.194579,Auvergne-Rhône-Alpes
80.0,EHPAD du Centre hospitalier de Pont de Vaux,010786085,172.0,Public,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,1753.8,Les Nivres BP 55,1190.0,01,AIN,PONT DE VAUX,03 85 30 80 00,hopital@chpv.fr,Centre hospitalier de Pont de Vaux,http://www.ch-pontdevaux.fr,46.433766,4.94476,Auvergne-Rhône-Alpes
68.0,EHPAD du Centre hospitalier du Pays de Gex,010784510,170.0,Public,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,1899.8999999999999,160 rue Marc-Panissod BP 437,1170.0,01,AIN,GEX,04 50 40 38 38,gex.accueil@ch-paysdegex.fr,Centre hospitalier du Pays de Gex,,46.32233860279671,6.057731487104822,Auvergne-Rhône-Alpes
73483.0,EHPAD les Hellebores Groissiat,010009223,77.0,Privé non lucratif,True,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,False,2177.4,1 place Louis Saint Cyr,1100.0,01,AIN,GROISSIAT,    ,leshellebores@mutain.com,Mutualité française Ain SSAM,,46.22138094123633,5.607834163450081,Auvergne-Rhône-Alpes
17667.0,Foyer-Logement La Corderie Montmerle Saône,010008340,22.0,Public,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,540.57,74 rue de Lyon,1090.0,01,AIN,MONTMERLE SUR SAONE,04 74 22 40 66,,SEMCODA Bourg En Bresse,http://www.www.semcoda.com,46.0777926,4.759633,Auvergne-Rhône-Alpes
17699.0,Foyer-Logement Le triolet,010784577,33.0,Public,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,417.62,230 rue Anne-Marie-Crollet,1370.0,01,AIN,TREFFORT CUISIAT,04 74 51 32 96,mairie@vonnas.com,CCAS Vonnas,http://www.vonnas.com/social-a-vonnas/foyer-logement-le-triolet/item/54-foyer-logement-triolet.html,46.215385,4.988997,Auvergne-Rhône-Alpes
17707.0,Foyer-Logement Les Nivéoles,010784619,22.0,Public,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,467.02,190 rue Masonod,1110.0,01,AIN,HAUTEVILLE LOMPNES,04 74 40 41 71,ccas@hauteville-lompnes.com,Comite Aide Pers Agees Hauteville,,45.979754,5.599812,Auvergne-Rhône-Alpes
